目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
8,3,59.07716658,48.14953772,44.45446533,60.12875725,55.54749785,55.55548143,40.05872663,44.43127419,1,22,6,2,4,4,0.0,1999,5,1,5,8,22.0,14,8,20,20,0
12,3,75.42460409,75.77902087,62.93884815,73.60796285,69.89531806,71.95176946,77.77433233,62.55391762,2,5,2,5,3,8,0.0,1970,4,30,4,6,20.0,8,10,0,25,0
14,3,61.10987169,76.36719843,66.69170125,77.76704377,55.54749785,60.84267301,68.95721353,70.33397033,2,12,2,2,3,2,0.0,1990,6,6,1,8,30.0,15,12,0,0,0
1586,3,81.68806034,80.99466312,85.16608081,88.87519312,82.24337479,72.48648275,73.34727143,74.43696203,2,15,1,6,2,3,0.0,1984,6,13,4,7,26.0,14,7,25,25,0
1590,3,83.15049556,80.47857286,74.05246448,88.87519312,69.6708332,80.52038403,84.44443909,92.20031227,1,16,2,8,4,4,0.0,1990,6,7,5,7,30.0,18,18,60,10,0
1593,3,77.80869155,70.95737878,59.33093802,73.18609406,71.28185752,74.69847916,64.37307026,70.75990103,1,5,1,3,3,7,0.0,1973,6,23,5,2,40.0,28,35,0,0,0
1595,3,77.80869155,77.80346762,77.80531758,77.76704377,80.83856378,77.77367433,77.77433233,77.76472787,2,3,2,2,3,2,0.0,2000,4,2,4,5,50.0,40,30,10,10,0
1598,3,87.21743701,84.09517762,74.05246448,85.6115933,75.76273442,83.5955792,77.71328377,85.19548542,1,8,2,6,3,2,0.0,1992,6,5,5,5,20.0,10,18,60,8,0
1600,3,71.11474506,59.99307516,59.33093802,67.13250673,61.86388392,66.66457788,62.22605821,59.22615178,1,7,1,3,3,2,0.0,1985,5,12,5,3,36.0,29,30,20,0,0
1604,3,80.94879357,78.17088584,77.80531758,85.1897245,85.79393203,74.69847916,79.93336716,73.66173617,2,26,1,3,2,3,0.0,1992,6,7,3,5,16.0,11,11,30,0,0
1607,3,84.25972045,74.51599249,70.44455435,76.87156267,79.0030546,77.77367433,77.77433233,81.09249372,1,10,2,3,1,1,0.0,1990,6,7,6,4,28.0,23,20,0,0,0
1619,3,71.29713052,71.51175763,63.08379112,74.50344395,76.52194118,71.95176946,71.23726238,66.65690932,1,12,1,5,3,2,0.0,1993,8,4,3,8,35.0,10,25,31,0,0
1627,3,61.70599959,70.38292105,66.69170125,66.65889442,66.65499787,66.66457788,71.10422558,66.65690932,2,15,1,2,4,4,0.0,1994,6,5,1,4,60.0,30,46,15,15,0
1642,3,67.80381817,77.80346762,77.80531758,77.76704377,77.76249789,72.48648275,77.77433233,77.76472787,2,25,2,6,3,2,0.0,1995,6,3,4,8,35.0,18,15,30,15,0
1647,3,73.38853977,75.77902087,74.05246448,77.76704377,77.76249789,75.02696464,75.67634606,74.43696203,2,30,1,8,3,2,0.0,1990,6,7,8,10,16.0,10,9,22,8,0
1651,3,98.18839641,91.71401505,85.16608081,81.45251238,84.01865341,86.67077438,80.06640397,85.19548542,1,14,3,10,2,3,0.0,1991,5,8,7,9,30.0,12,20,19,6,1
1657,3,74.66858952,77.80346762,63.08379112,77.76704377,82.30360534,77.77367433,86.60347392,88.87254642,2,20,1,10,4,4,0.0,1983,6,12,7,9,60.0,55,40,20,20,0
1659,3,82.79728523,80.23324475,77.80531758,74.50344395,74.68643201,85.80757561,80.05438118,81.09249372,1,5,3,7,4,4,0.0,1993,5,6,4,8,40.0,20,20,40,8,0
1669,3,69.44863886,67.95314392,62.93884815,77.76704377,75.98721927,77.77367433,80.06640397,81.44178887,2,29,2,8,1,1,0.0,1991,6,8,7,9,25.0,15,15,20,7,0
1676,3,80.57883545,79.82791437,85.16608081,81.03064359,77.76249789,86.13606108,77.77433233,81.44178887,2,28,1,7,3,2,0.0,1992,5,6,4,4,15.0,9,10,15,10,1
1678,3,83.21102768,84.46259583,77.80531758,81.92612469,77.76249789,77.77367433,82.15236745,77.76472787,1,12,1,5,3,2,0.0,1993,6,5,7,9,16.0,10,9,22,10,0
1680,3,81.17496336,88.91681971,81.55817068,81.92612469,79.53777651,77.77367433,84.44443909,82.21701473,1,6,2,4,1,1,0.0,1990,5,6,3,5,50.0,45,46,10,10,1
1681,3,69.26625339,66.69011554,66.69170125,66.65889442,71.44611182,66.66457788,68.76312816,66.65690932,1,6,2,4,1,1,0.0,1990,6,6,3,5,50.0,40,40,10,10,0
1686,3,55.58049501,55.57676345,55.57808492,55.55074507,58.62356374,55.55548143,57.65393773,48.11164488,1,5,4,5,2,3,0.0,1993,4,5,4,7,20.0,12,10,30,20,0
1688,3,56.50114885,51.15647666,48.06900081,44.43259739,50.52738456,55.55548143,57.65393773,70.41060587,1,13,1,6,1,1,0.0,1992,5,6,3,4,20.0,10,12,28,0,0
1691,3,83.21102768,85.62934458,85.16608081,81.45251238,85.85416258,83.5955792,84.49346486,81.44178887,1,11,2,5,3,2,0.0,1994,6,4,4,7,29.0,12,23,18,6,0
1697,3,68.54308495,72.49154574,62.93884815,55.55074507,57.32277647,55.55548143,64.56715562,62.55391762,2,12,2,2,2,3,0.0,1994,6,6,1,8,50.0,20,30,20,15,0
2,3,88.92278981,82.94626215,85.16608081,85.1897245,77.76249789,83.5955792,82.15236745,88.87254642,2,20,1,3,3,5,1.0,1992,6,5,4,4,18.0,10,8,0,30,0
3,3,95.04829439,93.33313142,77.66037461,93.03427403,88.86999791,94.16996236,95.6026553,95.87737327,2,32,1,8,5,6,1.0,1988,4,9,5,2,24.0,10,17,0,0,0
4,3,71.15232785,76.78576735,66.69170125,81.92612469,66.65499787,77.77367433,77.58024696,76.98950202,2,34,1,5,3,5,1.0,1986,6,10,4,7,27.0,10,10,18,25,0
5,3,70.57396208,71.64594943,70.44455435,74.02983164,66.65499787,66.33609241,62.09302141,74.43696203,2,36,1,5,3,5,1.0,1983,6,13,4,2,25.0,15,15,0,0,0
6,3,68.72547041,70.95737878,70.44455435,71.23984413,69.89531806,72.48648275,71.23726238,70.75990103,1,15,1,6,3,5,1.0,1985,6,9,3,2,15.0,10,7,30,5,0
7,3,65.97142483,71.51175763,66.69170125,62.4998135,67.95578514,64.124096,68.94519074,63.32914348,1,15,1,5,3,5,1.0,1990,6,10,3,3,15.0,10,7,0,0,0
9,3,82.79728523,84.85659599,81.41322771,84.7161122,87.68967176,83.26709373,84.51751043,88.52325126,2,30,2,5,3,5,1.0,1986,6,11,1,2,51.0,34,19,15,20,0
10,3,79.65718321,80.19533259,77.80531758,81.45251238,73.22139044,75.02696464,73.33524865,74.43696203,1,16,1,10,6,6,2.0,1989,4,10,3,2,26.0,12,15,26,15,0
13,3,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,29,1,8,5,6,1.0,1990,8,4,4,3,25.0,10,13,20,0,1
15,3,85.36894535,82.62510972,77.80531758,84.7161122,82.6138424,85.80757561,88.88352277,85.54478058,1,10,1,7,5,6,1.0,1988,6,9,3,7,38.0,14,13,0,0,0
16,3,77.80869155,83.23747961,70.44455435,77.76704377,77.92675219,75.02696464,75.66432328,81.86771957,2,40,1,12,3,5,1.0,1980,6,15,5,1,60.0,50,45,0,0,0
17,3,75.03854764,76.54043924,70.44455435,77.76704377,66.59476732,72.48648275,73.38427443,73.66173617,2,35,1,11,5,6,1.0,1985,4,10,3,3,60.0,50,45,0,0,0
18,3,67.26303519,74.79923276,74.05246448,70.81797534,82.7780967,74.69847916,71.29831094,73.66173617,2,40,2,11,3,5,1.0,1980,5,16,4,2,50.0,45,45,0,0,0
19,3,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,29,2,8,5,6,1.0,1990,8,4,4,3,42.0,26,13,30,20,0
20,3,63.38366639,51.76648477,40.70161223,59.65514494,53.93210689,50.58954409,57.65393773,47.41274017,1,2,3,4,3,5,1.0,1994,6,4,4,8,40.0,14,21,15,0,0
1582,3,72.40635542,77.80346762,70.44455435,74.08157516,72.74689909,75.02696464,64.57917841,70.75990103,2,20,3,8,3,5,1.0,1984,5,11,3,2,14.0,9,9,35,8,0
1583,3,75.56255577,75.20456314,74.05246448,81.45251238,66.65499787,66.66457788,82.21341601,70.75990103,2,29,2,7,4,5,2.0,1990,6,9,4,7,20.0,7,7,0,0,0
1584,3,83.75181066,79.47182639,85.16608081,84.7161122,84.55337532,88.88277078,86.7855365,77.76472787,1,18,1,12,4,5,2.0,1987,5,12,4,1,20.0,10,12,50,0,0
1585,3,90.75518315,87.17561323,81.55817068,85.1897245,87.56921065,94.70467565,93.27358067,93.32483328,1,20,2,20,3,5,1.0,1980,6,18,4,6,20.0,8,6,20,25,0
1587,3,79.83956868,84.64955647,81.55817068,93.03427403,86.87023444,86.67077438,77.78635512,84.76955472,1,11,2,6,5,6,1.0,1994,6,6,3,8,13.0,10,10,28,15,0
1589,3,85.04342101,83.19956745,85.16608081,81.03064359,89.03425221,88.88277078,86.60347392,88.87254642,2,42,1,9,5,6,1.0,1977,6,20,4,1,30.0,16,14,25,0,0
1591,3,69.8346953,75.3736905,63.08379112,66.65889442,71.50634238,66.66457788,75.48226069,67.00620448,2,31,1,8,5,6,1.0,1989,6,8,4,2,39.0,30,32,14,5,0
1592,3,66.51220782,68.71456229,59.33093802,62.97342581,61.80365337,60.84267301,62.09302141,62.55391762,1,21,2,8,5,6,1.0,1984,6,12,3,4,90.0,60,58,20,0,0
1594,3,57.99511387,62.99731003,62.93884815,73.60796285,72.97138394,69.41128758,71.04317701,69.98467517,2,2,2,5,4,5,2.0,1982,4,14,5,2,40.0,35,24,30,20,0
1596,3,71.68318697,68.81084193,66.69170125,71.23984413,62.11389042,75.02696464,73.38427443,73.66173617,2,18,2,7,4,6,1.0,1984,6,11,5,2,14.0,8,8,30,5,0
1597,3,91.69293371,91.59192495,85.31102379,96.29787385,84.32889046,97.24515753,88.8224742,99.98036497,2,8,1,5,3,5,1.0,1987,8,7,4,7,26.0,16,12,30,0,0
1599,3,65.3868846,64.66566879,70.44455435,66.65889442,61.63939907,63.58938271,64.37307026,62.55391762,2,30,1,5,3,5,1.0,1989,5,7,5,7,22.0,13,16,10,5,0
1601,3,81.48957655,85.62934458,85.16608081,77.76704377,82.7780967,83.06086591,82.16439024,88.87254642,2,40,1,15,4,5,2.0,1980,6,15,2,2,30.0,19,13,0,0,1
1602,3,73.38853977,71.51175763,74.05246448,78.18891256,72.74689909,69.41128758,79.8723186,69.98467517,1,5,2,10,4,5,2.0,1988,6,8,3,3,25.0,20,20,0,0,0
1603,3,85.78268779,86.39076294,85.16608081,77.76704377,87.09471929,88.88277078,77.77433233,85.54478058,2,38,1,11,5,6,1.0,1981,6,16,7,9,36.0,24,30,0,0,1
1605,3,86.89191268,85.62934458,81.55817068,81.92612469,81.00281808,80.52038403,84.44443909,84.76955472,2,30,3,2,4,6,1.0,1990,5,8,3,5,18.0,10,8,35,5,0
1606,3,75.96019988,77.80346762,70.44455435,77.76704377,74.68643201,69.73977306,75.48226069,77.76472787,2,41,1,6,5,6,1.0,1979,6,17,5,4,28.0,19,20,0,0,0
