目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
1.0,2.0,753.04,87.65,81.56,85.61,85.63,85.81,82.35,84.77,2.0,10.0,2.0,10.0,5.0,6.0,1,1983.0,6.0,14.0,2.0,3.0,19.0,11.0,10.0,30.0,5.0,0.0
60.0,2.0,68.73,66.69,62.94,70.34,58.56,77.77,71.24,63.33,1.0,11.0,5.0,6.0,2.0,3.0,#NULL!,1987.0,5.0,11.0,4.0,4.0,8.0,16.0,15.0,35.0,10.0,0.0
61.0,2.0,78.55,77.8,81.56,81.03,82.3,83.6,80.07,81.09,2.0,15.0,3.0,8.0,4.0,6.0,1,1987.0,5.0,9.0,6.0,3.0,29.0,13.0,10.0,0.0,0.0,0.0
62.0,2.0,81.36,79.91,63.08,74.03,80.94,80.52,70.86,71.54,2.0,33.0,1.0,5.0,5.0,6.0,1,1987.0,6.0,10.0,3.0,5.0,13.0,7.0,7.0,30.0,0.0,0.0
63.0,2.0,77.81,77.8,77.81,77.77,77.76,77.77,77.77,77.76,2.0,14.0,3.0,8.0,5.0,6.0,1,1986.0,5.0,11.0,3.0,2.0,29.0,13.0,26.0,0.0,0.0,0.0
64.0,2.0,65.17,64.95,62.94,73.61,63.58,69.74,71.1,59.23,1.0,29.0,1.0,3.0,5.0,6.0,1,1991.0,6.0,6.0,2.0,4.0,12.0,5.0,7.0,15.0,0.0,0.0
65.0,2.0,70.25,64.67,70.44,70.34,69.73,69.41,66.67,66.66,2.0,15.0,2.0,8.0,5.0,6.0,1,1986.0,5.0,10.0,4.0,8.0,14.0,14.0,27.0,15.0,0.0,0.0
66.0,2.0,66.15,67.38,55.58,71.24,67.96,60.84,64.49,62.55,2.0,32.0,1.0,6.0,2.0,3.0,#NULL!,1987.0,6.0,8.0,4.0,4.0,18.0,10.0,10.0,0.0,25.0,0.0
67.0,2.0,85.37,85.26,81.56,85.19,85.63,85.81,84.44,81.87,2.0,27.0,1.0,8.0,5.0,6.0,1,1993.0,6.0,5.0,4.0,4.0,16.0,20.0,21.0,4.0,0.0,0.0
68.0,2.0,75.96,77.04,70.44,77.77,72.75,71.95,73.2,73.66,1.0,20.0,2.0,12.0,4.0,5.0,2,1980.0,8.0,15.0,6.0,3.0,60.0,50.0,45.0,0.0,0.0,0.0
69.0,2.0,81.36,80.23,81.56,77.77,81.0,86.14,82.16,81.87,2.0,36.0,2.0,10.0,4.0,5.0,2,1984.0,6.0,11.0,5.0,2.0,29.0,15.0,13.0,0.0,0.0,0.0
70.0,2.0,82.41,73.54,74.05,88.88,72.91,74.7,79.86,81.87,1.0,20.0,2.0,1.0,3.0,5.0,1,1988.0,6.0,10.0,4.0,2.0,20.0,12.0,15.0,15.0,0.0,0.0
71.0,2.0,74.25,77.04,66.69,77.77,77.76,80.85,77.76,81.09,1.0,10.0,1.0,10.0,3.0,5.0,1,1980.0,4.0,15.0,4.0,1.0,20.0,10.0,15.0,0.0,0.0,0.0
72.0,2.0,88.54,83.93,85.17,92.56,87.79,77.77,88.87,84.77,2.0,14.0,2.0,8.0,5.0,6.0,1,1987.0,5.0,10.0,6.0,6.0,29.0,14.0,26.0,0.0,0.0,1.0
73.0,2.0,83.52,79.07,74.05,81.93,79.23,74.7,84.31,81.09,2.0,10.0,2.0,7.0,5.0,6.0,1,1984.0,6.0,10.0,6.0,4.0,20.0,8.0,6.0,30.0,25.0,0.0
74.0,2.0,79.84,88.92,77.81,88.88,77.76,86.14,88.88,77.76,2.0,35.0,2.0,6.0,3.0,5.0,1,1985.0,6.0,13.0,3.0,2.0,27.0,20.0,20.0,0.0,0.0,0.0
75.0,2.0,81.69,85.63,74.05,70.4,71.51,80.85,77.77,77.76,1.0,8.0,2.0,14.0,3.0,5.0,1,1985.0,5.0,11.0,6.0,6.0,20.0,5.0,16.0,0.0,0.0,0.0
